epoch,loss,accuracy,mean_iou
0,0.11083177253082128,0.9539521480712567,0.8495031590461426
1,0.10269324847684259,0.9571200313568472,0.8583763837814331
2,0.09981245734786912,0.9582652378082275,0.8616058826446533
3,0.09858621879386902,0.9587839846611023,0.8633486032485962
4,0.09592412716259956,0.9598321914672852,0.8667166233062744
5,0.09447289276170731,0.9604334230422974,0.8678097720146179
6,0.09369806244134903,0.960723614692688,0.8690937161445618
7,0.09179198706197739,0.9614861011505127,0.871448278427124
8,0.08977573012638092,0.9623442883491516,0.8740410809516907
9,0.08826954376649857,0.9629743695259094,0.8756132121086121
10,0.08685843205404282,0.9635530710220337,0.877862334728241
11,0.08730885058689117,0.9634172916412354,0.8769286870956421
12,0.0857912396197319,0.9640302062034607,0.8795253038406372
13,0.08503761032056808,0.9642961621284485,0.8794496059417725
14,0.08600294977474213,0.9639620184898376,0.879240930557251
15,0.08071720724153519,0.966110408782959,0.8853969573974609
16,0.08063768351078033,0.9661566610336304,0.8856643433570862
17,0.07737461885881424,0.9675596952438354,0.889783203125
18,0.07581538796424866,0.9681848888397217,0.8916465044021606
19,0.07465080219507217,0.9686692357063293,0.893174111366272
20,0.07415877968924866,0.9695646788397217,0.894716504687095
19,0.07303761032089116,0.9700834937706296,0.895374186866269